name,group,status,current_url
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Tech & Co (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TECHANDCO/index.m3u8?end=END&start=LIVE
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Toulon Var (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TOULONVAR/index.m3u8?end=END&start=LIVE
NW Info FR (576p),02 - INFOS,403,https://hls.newworldtv.com/nw-info/video/live.m3u8
Press TV French (1080p),02 - INFOS,TIMEOUT,https://live4.presstv.ir/live/smil:presstvfr.smil/playlist.m3u8
Crime Scene TV,03 - CRIME & ENQUETES,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-685f150c593aba51f211823f/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Documentary+,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-614e286b2bac097ffd6fd6ab/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Evasion TV,04 - REPORTAGES & DOCS,FAIL,https://kali.vdopanel.com:3788/hybrid/play.m3u8
Stingray Naturescape,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62fbf36c1567211fdb82e920/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
TV5MONDE Voyage,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74a235dc5413c905efd62/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Ici Radio-Canada Télé Terre-Neuve-et-Labrador (CBAFT-DT) [Geo-blocked],05 - ANIMAUX & NATURE,403,https://rcavlive.akamaized.net/hls/live/704014/cancbaft/master.m3u8
Nature Time,05 - ANIMAUX & NATURE,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6827c34ca5c6e573c6904444/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
TiVi5 Monde [Geo-blocked],06 - VOYAGE & DECOUVERTE,403,https://ott.tv5monde.com/Content/HLS/Live/channel(tivi5)/variant.m3u8
TV5Monde Asia (1080p),06 - VOYAGE & DECOUVERTE,TIMEOUT,http://54.37.19.157/TV5MONDE/index.m3u8
TV5Monde Info (1080p) [Geo-blocked],06 - VOYAGE & DECOUVERTE,403,https://ott.tv5monde.com/Content/HLS/Live/channel(info)/variant.m3u8
TV5Monde Latin America (720p),06 - VOYAGE & DECOUVERTE,404,http://45.162.231.38:7779/TV5_Monde/index.m3u8
TV5Monde Pacifique (1080p) [Geo-blocked],06 - VOYAGE & DECOUVERTE,403,https://ott.tv5monde.com/Content/HLS/Live/channel(pacifique)/variant.m3u8
TV5Monde Style (1080p) [Geo-blocked],06 - VOYAGE & DECOUVERTE,TIMEOUT,https://ott.tv5monde.com/Content/HLS/Live/channel(style1)/variant.m3u8
Cooking Panda,07 - CUISINE,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5f07e9fdf313eb0041bbecda/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
TV5MONDE Chefs,07 - CUISINE,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74890b5b437bf872b6b72/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Box Office Action,09 - CINEMA,TIMEOUT,https://jmp2.uk/stvp-FR370000288
Ciné Charme by Pluto TV,09 - CINEMA,404,https://jmp2.uk/plu-6a31608fac88749b9cb85dd8.m3u8
Cine+ Emotion (720p),09 - CINEMA,403,http://145.239.5.177/337/index.m3u8
CINEPRIDE,09 - CINEMA,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62167144ab2095ca85353ad6/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Death Valley Days,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6674b68af04cf4bb9233c916/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Dick Van Dyke,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6449369eb3ff17382cae5801/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
FilmRise Série Populaire,09 - CINEMA,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-65e9d0ad8fe4ef7053c3c870/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Grjngo - Western Movies,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-63489a771159f6a5ce819b7b/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Hot Ones,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6582a1316b91be4547aa153c/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""09 - CINEMA"",Cine+ Frisson (1080p)",09 - CINEMA,TIMEOUT,http://99.27.51.147:8080/CineFrisson/index.m3u8
Maverick Black Cinema,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5ef4e1b40d9ad000423c4430/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Movie Music by Stingray,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62fbf197c67d52bddf74cc87/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Moviesphere,09 - CINEMA,403,https://jmp2.uk/stvp-FR42000023H
MOVIESPHERE,09 - CINEMA,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-695d5c1d6e5de3b17595a267/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Sony One Action HITS,09 - CINEMA,FAIL,https://jmp2.uk/stvp-FR3000139Z
Sony One | Hits Action,09 - CINEMA,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-692227f850fe592fd6d5b7e0/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Sony One HITS Comédie,09 - CINEMA,FAIL,https://jmp2.uk/stvp-FR300009JQ
Sony One | Hits Comédie,09 - CINEMA,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-692228985cbe620c1f9b6bb9/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Sony One | Séries Comédie,09 - CINEMA,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6922294e5cbe620c1f9b6bbb/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Sony One | Séries Thriller,09 - CINEMA,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-69222b5c5cbe620c1f9b6bbd/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Surf Cinema,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-656fbbd6dbcce28c3a41741b/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
The Wiggles,09 - CINEMA,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68e0371d8bbd79d66c631ab2/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
AB1 (720p),09 - CINEMA & SERIES,403,http://145.239.5.177/332/index.m3u8
Nollywood TV (720p),09 - CINEMA & SERIES,403,http://145.239.5.177/148/index.m3u8
Novela Channel (720p) [Not 24/7],09 - CINEMA & SERIES,404,https://video1.getstreamhosting.com:1936/8284/8284/playlist.m3u8
RTL9 (720p),09 - CINEMA & SERIES,403,http://145.239.5.177/308/index.m3u8
TV Breizh (1080p),09 - CINEMA & SERIES,403,http://145.239.5.177/318/index.m3u8
Asian Drama,10 - SERIES,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-685f27cca7111a932d28f1ae/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Génération Sitcoms TV,10 - SERIES,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68e03d842cbc7a5d3189394a/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Serie Club (720p),10 - SERIES,403,http://145.239.5.177/355/index.m3u8
Serie Max,10 - SERIES,403,https://video1.getstreamhosting.com:1936/8330/8330/playlist.m3u8
Soap,10 - SERIES,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-695d48094ba349f255911f92/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Animation+,11 - EMISSIONS & DIVERTISSEMENT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-674f6a6cf44561420465f9f3/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Boss Brothers TV (1080p),11 - EMISSIONS & DIVERTISSEMENT,TIMEOUT,http://51.254.199.122:8080/bossbrothersTV/index.m3u8
Pluto TV Junior (720p),11 - EMISSIONS & DIVERTISSEMENT,TIMEOUT,https://jmp2.uk/plu-5f8ecb336537e8000764a17f.m3u8
TG Junior,11 - EMISSIONS & DIVERTISSEMENT,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5f123330eca6a20040b328e8/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Equidia (1080p),12 - SPORT,TIMEOUT,https://raw.githubusercontent.com/Paradise-91/ParaTV/main/streams/equidia/live2.m3u8
Foot+,12 - SPORT,403,http://145.239.5.177/556a/index.m3u8
FTF Sports,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-605a309dc5acdc002c7a20aa/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
GFN Football TV,12 - SPORT,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-67c247c345ae99120c071586/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
"like Gecko) Chrome/120.0.0.0 Safari/537.36 VLC/3.0.21 LibVLC/3.0.21"" group-title=""12 - SPORT"",RMC Sport 1",12 - SPORT,403,https://7nyaler.streamhostingcdn.top/stream/59/index.m3u8
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""12 - SPORT"",Canal+ Sport 360",12 - SPORT,FAIL,https://futbol9865.ultratv13.workers.dev/deportivo111/14.m3u8
Poker Night TV,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-60afc726623f2f002c5bb49f/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
PokerGO,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-64ac687b4192b4e1bab96279/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Racing America,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-61a945156547ba4d6d238dc9/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
SportsGrid,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5ef11485d33ab9004048a1ca/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
The World Poker Tour,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5f6b8e7900b0950040d0f2b2/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
The World Poker Tour,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-656fa24bdbcce28c3a417415/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Women's Sports Network,12 - SPORT,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-630fa9e577ec3866def38fa2/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
A2i Music (720p) [Not 24/7],14 - MUSIQUE,404,https://stream.sen-gt.com/A2iMusic/myStream/playlist.m3u8
Congo Planet Télévision (1080p) [Not 24/7],14 - MUSIQUE,TIMEOUT,https://radio.congoplanet.com/Congo_Planet_TV.sdp/Congo_Planet_TV/playlist.m3u8
Couleur 3 (720p),14 - MUSIQUE,403,https://visualradio-rts-couleur3-d.akamaized.net/out/v1/6a1472634ad745f59a9e63ee8adbbc00/index.m3u8
Ici Radio-Canada Télé (1080p) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive-dai.akamaized.net/hls/live/696614/cancbftprem/master.m3u8
Ici Radio-Canada Télé Colombie-Britannique/Yukon (CBUFT-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704017/cancbuft/master.m3u8
Ici Radio-Canada Télé Est du Québec (CJBR-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704024/cancjbr/master.m3u8
Ici Radio-Canada Télé Estrie (CKSH-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704016/cancksh/master.m3u8
Ici Radio-Canada Télé Manitoba (CBWFT-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704018/cancbwft/master.m3u8
Ici Radio-Canada Télé Mauricie/Centre-du-Québec (CKTM-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704021/cancktm/master.m3u8
Ici Radio-Canada Télé Ontario (CBLFT-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704022/cancblft/master.m3u8
Ici Radio-Canada Télé Ottawa/Gatineau (CBOFT-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/664046/cancboft/master.m3u8
Ici Radio-Canada Télé Québec (CBVT-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/664045/cancbvt/master.m3u8
Ici Radio-Canada Télé Saguenay/Lac-St-Jean (CKTV-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704023/cancktv/master.m3u8
Ici Radio-Canada Télé Saskatchewan (CBKFT-DT) [Geo-blocked],14 - MUSIQUE,403,https://rcavlive.akamaized.net/hls/live/704019/cancbkft/master.m3u8
MCM Top (1080p),14 - MUSIQUE,403,http://89.33.29.118/MCM/index.m3u8
Museum TV [Geo-blocked],14 - MUSIQUE,FAIL,https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg01492-secomsasmediart-museumtv-eng-samsungit/playlist.m3u8
NRJ Hits,14 - MUSIQUE,FAIL,https://test.946985.filegear-sg.me/proxy/a23981548880f405
Qello Concerts,14 - MUSIQUE,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62d7f68fb19cbf65dc7bef7c/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Radio Contact (1080p),14 - MUSIQUE,FAIL,https://contact-live-hls.akamaized.net/hls/live/2038650/CONTACT-Live-HLS/master.m3u8
Radio Télé Amen FM (360p) [Not 24/7],14 - MUSIQUE,TIMEOUT,http://184.173.179.163:1935/daniel/daniel/playlist.m3u8
Radio Télé Kajou (480p) [Not 24/7],14 - MUSIQUE,404,https://59d39900ebfb8.streamlock.net/RadioTelekAJOU/RadioTelekAJOU/playlist.m3u8
Radio Tele Planet Compas (720p) [Not 24/7],14 - MUSIQUE,404,https://5dcab9aed5331.streamlock.net/mrcompas1/livestream/playlist.m3u8
Radio Télé Wisdom (360p) [Not 24/7],14 - MUSIQUE,404,https://59d39900ebfb8.streamlock.net/daniel/daniel/playlist.m3u8
Radio Télévision Shilo (720p) [Not 24/7],14 - MUSIQUE,404,https://watch.haitilive.net/freehb/rtvs/index.m3u8
RFM TV [Not 24/7],14 - MUSIQUE,FAIL,http://315e5a5d.ottrast.com/iptv/MM4E93NGF5LADZ/1038/index.m3u8
TeleMusik Senegal (720p),15 - CULTURE,404,https://58c04fb1d143f.streamlock.net/rezopropartner_1_live/rezopropartner_1_live/playlist.m3u8
Le Nouveau Manager TV,16 - LIFESTYLE & BIEN-ETRE,404,https://lnmlive.com/live/lnmtv.m3u8
Luxe TV (1080p),16 - LIFESTYLE & BIEN-ETRE,TIMEOUT,http://103.154.3.101:5001/live/1736.m3u8
Dynamic Gospel TV (480p) [Not 24/7],17 - SPIRITUALITE,FAIL,https://ssh101stream.ssh101.com/akamaissh101/ssh101/tvdynamicstream/playlist.m3u8
Ecclesia TV,17 - SPIRITUALITE,403,https://video1.getstreamhosting.com:1936/8294/8294/playlist.m3u8
Iqraa Quran (1080p),17 - SPIRITUALITE,TIMEOUT,https://playlist.fasttvcdn.com/pl/dlkqw1ftuvuuzkcb4pxdcg/Iqraafasttv2/playlist.m3u8
KTO (504p),17 - SPIRITUALITE,403,http://145.239.5.177/354/index.m3u8
Miracle TV+ (720p),17 - SPIRITUALITE,403,https://strhlslb01.streamakaci.tv/str_mtv_mtv/str_mtv_multi/playlist.m3u8
MTA1 World (720p),17 - SPIRITUALITE,404,https://chlivemta1.akamaized.net/hls/live/2008145/mta1/playlist.m3u8
MTA2 Europe (720p),17 - SPIRITUALITE,FAIL,https://chlivemta1.akamaized.net/hls/live/2008145/mta2/playlist.m3u8
ACL Cornhole TV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-63504925a97bd70eaef54f01/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
AddictaTV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-69d6d88b1790acff6189dea5/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
ADRENALINE SPICA LIFE,20 - SUISSE FR,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6a285269915c7c0d3211be8b/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
AfroLandTV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-60e737a4ebef9d002c4d0a0c/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Alerte à Malibu TV,20 - SUISSE FR,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68e03cb418c739b4d91a6a59/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Alternative,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62efbb8652f7d73061eec498/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Baby Einstein,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-69333216ac5b3f9f53442374/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Bassmaster,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68caada21fabab6eb2e99331/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Billiard TV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6334a8e48a7b2a349d903b8c/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Bizaar,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-689e1f0dd84bfb3d54b6756f/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Blacklist,20 - SUISSE FR,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-69222c105cbe620c1f9b6bbf/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Bondi Rescue,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-69ae4f38e657bab5f7a9b7ec/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
BOOT,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5ef11487d33ab9004048a1d3/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Bowling TV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6970fdabbde579fb71262401/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Brat TV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-63d6f6c5a9e88ee909e7ee1f/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
C4 en Alerta,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-65b1568052aa31b8f64da064/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Camp Spoopy,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6164a963766ab4f9f57e81b1/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Canal 9 en Français (1080p),20 - SUISSE FR,403,https://livehd.vedge.infomaniak.com/livecast/livehd/master.m3u8
Carac 1 (1080p),20 - SUISSE FR,403,http://145.239.5.177/371/index.m3u8
CBC News,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-64c91830ea7db2f52688c52c/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Cesar's Pack Leader TV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-693cbba358076a970420f597/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Classic Rock,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-61aaa0cc784a2161d3caf7ff/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
CombaTV,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-63f0ca427b78030ed9990309/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
COPS,20 - SUISSE FR,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-626c1753ffda6789d20a452e/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Cosmic Frontiers,20 - SUISSE FR,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-635c61cc797a33fa4193cc93/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Dr. Phil,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-66e4cbef38de9754b6b13e90/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
Dude Perfect,20 - SUISSE FR,FAIL,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68d7f9b53b1f329cea126993/?X-Plex-Token=Ha_Pno3Pjk88bia1EmNh
