name,status,source,url,info,error
Africanews French (720p),OK-2X,playlist.m3u,https://cdn-euronews.akamaized.net/live/eds/africanews-fr/25050/index.m3u8,"video,428,240
audio

video,640,360
audio

video,854,480
audio

video,1024,576
audio

video,1280,720
audio

video,1280,720
audio

video,428,240
audio
video,640,360
audio
video,854,480
audio
video,1024,576
audio
video,1280",
AL24 News,FAIL-1,playlist.m3u,https://cdn.live.easybroadcast.io/abr_corp/66_al24_u4yga6h/corp/66_al24_u4yga6h_240p/chunks.m3u8,,https://cdn.live.easybroadcast.io/abr_corp/66_al24_u4yga6h/corp/66_al24_u4yga6h_240p/chunks.m3u8: Server returned 404 Not Found
BFM 2,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR1400003Y0,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
BFM Business,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD4100006OC,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
BFM TV,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD410000783,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
BFM2 (1080p),OK-2X,playlist.m3u,https://d1ib1gsg71oarf.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-scp7wda722jph/BFM2_FR.m3u8,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
CGTN French (1080p),OK-2X,playlist.m3u,http://145.239.5.177/214/index.m3u8,"video,1920,1080
audio

video,1920,1080
audio",
CNA (360p) [Not 24/7],FAIL-1,playlist.m3u,https://live.creacast.com/cna/stream/playlist.m3u8,,https://live.creacast.com/cna/stream/playlist.m3u8: Server returned 403 Forbidden (access denied)
CNews (1080p),OK-2X,playlist.m3u,https://raw.githubusercontent.com/Paradise-91/ParaTV/main/streams/canalplus/cnews-dm.m3u8,"video,848,480
audio

video,320,184
audio

video,512,288
audio

video,1280,720
audio

video,1920,1080
audio

video,848,480
audio
video,320,184
audio
video,512,288
audio
video,1280,720
audio
video,1920,1080
audio",
CNEWS PRIME (1080p),OK-2X,playlist.m3u,https://raw.githubusercontent.com/Paradise-91/ParaTV/main/streams/canalplus/cnews-prime-dm.m3u8,"video,848,480
audio

video,320,184
audio

video,512,288
audio

video,1280,720
audio

video,1920,1080
audio

video,848,480
audio
video,320,184
audio
video,512,288
audio
video,1280,720
audio
video,1920,1080
audio",
Diaspora 24 [Geo-blocked],OK-2X,playlist.m3u,https://vdo3.pro-fhi.net:3218/stream/play.m3u8,"video,1920,1080
audio

video,1920,1080
audio",
Euronews,OK-2X,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-60089d90f682a3002c348299/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,"video,428,240
audio

video,640,360
audio

video,854,480
audio

video,1024,576
audio

video,1280,720
audio

video,1280,720
audio

video,428,240
audio
video,640,360
audio
video,854,480
audio
video,1024,576
audio
video,1280",
Filinfo TV (1080p),OK-2X,playlist.m3u,https://d2iqjnqfr8pv3b.cloudfront.net/out/v1/d09d2fc718404cd8bccd3eba2444dd70/index.m3u8,"video,426,240
audio
data

video,640,360
audio
data

video,854,480
audio
data

video,1280,720
audio
data

video,1920,1080
audio
data

video,426,240
audio
data
video,640,360
audio
data
video,854,480
audio
data
video,1280,7",
Haiti News Channel (1080p) [Not 24/7],OK-2X,playlist.m3u,https://cdn.haititivi.com/website/haitinews/index.m3u8,"video,1280,720
audio

video,1280,720
audio",
HMI PROMZ NEWS (720p),OK-2X,playlist.m3u,https://video1.getstreamhosting.com:1936/8326/8326/playlist.m3u8,"data
video,1280,720
audio

data
video,1280,720
audio",
i24NEWS French (1080p),OK-2X,playlist.m3u,https://i24newsfrench-cdn.encoders.immergo.tv/master.m3u8,"video,640,360
audio

video,1280,720
audio

video,1920,1080
audio

video,640,360
audio
video,1280,720
audio
video,1920,1080
audio",
LCI HD (1080p),FAIL-1,playlist.m3u,http://145.239.5.177/368/index.m3u8,,http://145.239.5.177/368/index.m3u8: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Alsace (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_ALSACE/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_ALSACE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM DICI Alpes du Sud (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_ALPESDUSUD/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_ALPESDUSUD/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM DICI Haute-Provence (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_HAUTEPROVENCE/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_HAUTEPROVENCE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Grand Lille (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLILLE/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLILLE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Grand Littoral (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLITTORAL/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLITTORAL/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Lyon (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_LYON/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_LYON/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Marseille (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_MARSEILLEPROV/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_MARSEILLEPROV/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Nice Côte d'Azur (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NICECOTEDAZUR/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NICECOTEDAZUR/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Normandie (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NORMANDIE/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NORMANDIE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Tech & Co (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TECHANDCO/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TECHANDCO/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Toulon Var (1080p)",FAIL-1,playlist.m3u,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TOULONVAR/index.m3u8?end=END&start=LIVE,,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TOULONVAR/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
Monaco Info (1080p),OK-2X,playlist.m3u,https://webtv.monacoinfo.com/live/prod/index.m3u8,"audio
video,1920,1080

audio
video,1920,1080",
NW Info FR (576p),FAIL-1,playlist.m3u,https://hls.newworldtv.com/nw-info/video/live.m3u8,,https://hls.newworldtv.com/nw-info/video/live.m3u8: Server returned 403 Forbidden (access denied)
Press TV French (1080p),OK-2X,playlist.m3u,https://live4.presstv.ir/live/smil:presstvfr.smil/playlist.m3u8,"data
video,1920,1080
audio

data
video,1920,1080
audio",
Trailers From Hell,OK-2X,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-61d738b5a7b7c7f703418514/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,"video,0,0
audio

video,384,216
audio

video,960,540
audio

video,0,0
audio

video,0,0
audio

video,0,0
audio
video,384,216
audio
video,960,540
audio
video,0,0
audio
video,0,0
audio",
Crime Beat TV,OK-2X,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68c98e7460586565cc56baab/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,"video,1920,1080
audio
data
data

video,1280,720
audio
data
data

video,1024,576
audio
data
data

video,640,360
audio
data
data

video,384,216
audio
data
data

video,1920,1080
audio
data
data
video,1280,720
audio
data
dat",
Crime - Rakuten TV,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR2600009UG,"video,448,252
audio

video,768,432
audio

video,768,432
audio

video,1280,720
audio

video,1920,1080
audio

video,448,252
audio
video,768,432
audio
video,768,432
audio
video,1280,720
audio
video,1920,1080
audio",
Crime Scene TV,FAIL-1,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-685f150c593aba51f211823f/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-685f150c593aba51f211823f/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8: Server returned 404 Not Found
Crimes Enquêtes Faits Divers,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR600002ZR,"video,1280,720
audio
data
data

video,960,540
audio
data
data

video,854,480
audio
data
data

video,640,360
audio
data
data

video,1280,720
audio
data
data
video,960,540
audio
data
data
video,854,480
audio
data
data
vide",
Enquêtes Criminelles,OK-2X,playlist.m3u,https://jmp2.uk/plu-66f55d0b5e4a6e0008c2b920.m3u8,"audio
video,1216,684

audio
video,1216,684

audio
video,1216,684

audio
video,1216,684
audio
video,1216,684
audio
video,1216,684",
Enquêtes de Choc,OK-2X,playlist.m3u,https://jmp2.uk/plu-63921a1bf76e7d0007c998a6.m3u8,"audio
video,854,480

audio
video,854,480

audio
video,1280,720

audio
video,854,480
audio
video,854,480
audio
video,1280,720",
Enquêtes de Choc,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBC90000220,"video,640,360
audio
data

video,848,480
audio
data

video,1280,720
audio
data

video,1920,1080
audio
data

video,640,360
audio
data
video,848,480
audio
data
video,1280,720
audio
data
video,1920,1080
audio
data",
IntoCrime,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR300032ZK,"video,640,360
audio

video,960,540
audio

video,1280,720
audio

video,1920,1080
audio

video,640,360
audio
video,960,540
audio
video,1280,720
audio
video,1920,1080
audio",
Investigation by Pluto TV,OK-2X,playlist.m3u,https://jmp2.uk/plu-6683cd2fca74680008772545.m3u8,"audio
video,854,480

audio
video,854,480

audio
video,1216,684

audio
video,854,480
audio
video,854,480
audio
video,1216,684",
Love Crime & History,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD43000016D,"video,640,360
audio
data

video,848,480
audio
data

video,1280,720
audio
data

video,1920,1080
audio
data

video,640,360
audio
data
video,848,480
audio
data
video,1280,720
audio
data
video,1920,1080
audio
data",
Mission Intervention,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR700002UP,"video,1280,720
audio
data
data

video,960,540
audio
data
data

video,854,480
audio
data
data

video,640,360
audio
data
data

video,1280,720
audio
data
data
video,960,540
audio
data
data
video,854,480
audio
data
data
vide",
Pluto TV Brigade Criminelle,OK-2X,playlist.m3u,https://jmp2.uk/plu-684bf01df7d8b74b625b7dd1.m3u8,"audio
video,854,480

audio
video,1024,576

audio
video,1216,684

audio
video,854,480
audio
video,1024,576
audio
video,1216,684",
RMC alerte secours,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR30000271,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
True Crime by Pluto TV,OK-2X,playlist.m3u,https://jmp2.uk/plu-5f914f4b36d67d0007a91a04.m3u8,"audio
video,854,480

audio
video,1024,576

audio
video,1216,684

audio
video,854,480
audio
video,1024,576
audio
video,1216,684",
Zylo Into Crime (1080p),OK-2X,playlist.m3u,https://amg00711-zylo-amg00711c10-rakuten-fr-6731.playouts.now.amagi.tv/playlist.m3u8,"video,1920,1080
audio

video,1280,720
audio

video,854,480
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,854,480
audio
video,640,360
audio",
100% Docs Crime,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD39000064E,"video,854,480
audio
data
data

video,640,360
audio
data
data

video,1280,720
audio
data
data

video,1920,1080
audio
data
data

video,854,480
audio
data
data
video,640,360
audio
data
data
video,1280,720
audio
data
data
vi",
Afroculture TV,FAIL-1,playlist.m3u,https://streamtv.cmediahosthosting.net:3836/live/myafroculturelive.m3u8,,[tcp @ 0x556d83617c00] Connection to tcp://streamtv.cmediahosthosting.net:3836 failed: Connection refused https://streamtv.cmediahosthosting.net:3836/live/myafroculturelive.m3u8: Connection refused
BFM Grands Reportages,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR300004J5,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
Canal Savoir (360p),OK-2X,playlist.m3u,https://hls.savoir.media/live/stream.m3u8,"audio
video,640,360

audio
video,640,360",
Culture Pub,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD110000181,"audio
video,854,480

audio
video,640,360

audio
video,1920,1080

audio
video,1280,720

audio
video,854,480
audio
video,640,360
audio
video,1920,1080
audio
video,1280,720",
Destination Nature,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBC4000001IO,"video,640,360
audio
data

video,848,480
audio
data

video,1280,720
audio
data

video,1920,1080
audio
data

video,640,360
audio
data
video,848,480
audio
data
video,1280,720
audio
data
video,1920,1080
audio
data",
Docs & enquêtes by Society+,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR15000010E,"video,1920,1080
audio

video,1280,720
audio

video,1024,576
audio

video,854,480
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,1024,576
audio
video,854,480
audio
video,640,360
audio",
Documentary+,FAIL-1,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-614e286b2bac097ffd6fd6ab/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-614e286b2bac097ffd6fd6ab/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8: Server returned 404 Not Found
Evasion TV,FAIL-1,playlist.m3u,https://kali.vdopanel.com:3788/hybrid/play.m3u8,,[tcp @ 0x557b92716f40] Connection to tcp://kali.vdopanel.com:3788 failed: Connection refused https://kali.vdopanel.com:3788/hybrid/play.m3u8: Connection refused
Invitation au voyage,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR3700004HZ,"video,640,360
audio

video,960,540
audio

video,1280,720
audio

video,1920,1080
audio

video,640,360
audio
video,960,540
audio
video,1280,720
audio
video,1920,1080
audio",
J'irai dormir chez vous,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD4800001P4,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
Les secrets de nos régions,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD410000436,"audio
video,426,240

audio
video,640,360

audio
video,848,480

audio
video,1280,720

audio
video,1920,1080

audio
video,426,240
audio
video,640,360
audio
video,848,480
audio
video,1280,720
audio
video,1920,1080",
Nature Time France (1080p),OK-2X,playlist.m3u,https://bamusa-naturetime-emea-fra-rakuten.amagi.tv/playlist.m3u8,"video,640,360
audio

video,848,480
audio

video,1280,720
audio

video,1920,1080
audio

video,640,360
audio
video,848,480
audio
video,1280,720
audio
video,1920,1080
audio",
NatureTime,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBB4900002D4,"video,640,360
audio

video,848,480
audio

video,1280,720
audio

video,1920,1080
audio

video,640,360
audio
video,848,480
audio
video,1280,720
audio
video,1920,1080
audio",
Pluto TV Animaux,OK-2X,playlist.m3u,https://jmp2.uk/plu-60925a44f0350600075a1fdc.m3u8,"video,854,480
audio

video,854,480
audio

video,1280,720
audio

video,854,480
audio
video,854,480
audio
video,1280,720
audio",
Pluto TV Histoire (720p),OK-2X,playlist.m3u,https://jmp2.uk/plu-611e771e2f5f180007002224.m3u8,"audio
video,854,480

audio
video,1024,576

audio
video,1216,684

audio
video,854,480
audio
video,1024,576
audio
video,1216,684",
Popular Science,FAIL-1,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-656fb850cb7e8e6a9bc3f36e/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,,
RMC Découverte,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBD4100008QS,"video,1920,1080
audio

video,1280,720
audio

video,960,540
audio

video,640,360
audio

video,1920,1080
audio
video,1280,720
audio
video,960,540
audio
video,640,360
audio",
Stingray Naturescape,FAIL-1,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62fbf36c1567211fdb82e920/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62fbf36c1567211fdb82e920/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8: Server returned 404 Not Found
True History,OK-2X,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-614398a08f30fa61e0da7c97/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,"video,1280,720
audio
data

video,1024,576
audio
data

video,640,360
audio
data

video,384,216
audio
data

video,1280,720
audio
data
video,1024,576
audio
data
video,640,360
audio
data
video,384,216
audio
data",
TV5 Monde Voyage,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR1800004EP,"video,1280,720
audio
data

video,960,540
audio
data

video,854,480
audio
data

video,640,360
audio
data

video,1280,720
audio
data
video,960,540
audio
data
video,854,480
audio
data
video,640,360
audio
data",
TV5MONDE Voyage,FAIL-1,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74a235dc5413c905efd62/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74a235dc5413c905efd62/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8: Server returned 404 Not Found
Voyages & Saveurs,OK-2X,playlist.m3u,https://jmp2.uk/plu-680291e38e1ff89c2427aefd.m3u8,"audio
video,1216,684

audio
video,1216,684

audio
video,1216,684

audio
video,1216,684
audio
video,1216,684
audio
video,1216,684",
Voyages & Saveurs,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FR3600005C7,"video,426,240
audio
data

video,640,360
audio
data

video,848,480
audio
data

video,1280,720
audio
data

video,1920,1080
audio
data

video,426,240
audio
data
video,640,360
audio
data
video,848,480
audio
data
video,1280,7",
WildEarth,OK-2X,playlist.m3u,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-60d4edddb2fdec002c141135/?X-Plex-Token=tKfzC4xTJkyw3e4K46d8,"video,768,432
audio

video,1280,720
audio

video,1920,1080
audio




video,768,432
audio
video,1280,720
audio
video,1920,1080
audio",
Cap Terre,OK-2X,playlist.m3u,https://jmp2.uk/stvp-FRBC3900004DS,"video,640,360
audio
data

video,848,480
audio
data

video,1280,720
audio
data

video,1920,1080
audio
data

video,640,360
audio
data
video,848,480
audio
data
video,1280,720
audio
data
video,1920,1080
audio
data",
Ici Radio-Canada Télé Terre-Neuve-et-Labrador (CBAFT-DT) [Geo-blocked],FAIL-1,playlist.m3u,https://rcavlive.akamaized.net/hls/live/704014/cancbaft/master.m3u8,,https://rcavlive.akamaized.net/hls/live/704014/cancbaft/master.m3u8: Server returned 403 Forbidden (access denied)
