name,group,status,url,error
Love Crime & History,03 - CRIME & ENQUETES,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-671ff65b29bcfe7b69d4fef7/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-671ff65b29bcfe7b69d4fef7/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Mission Intervention,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FR700002UP,
Pluto TV Brigade Criminelle,03 - CRIME & ENQUETES,OK,https://jmp2.uk/plu-684bf01df7d8b74b625b7dd1.m3u8,
RMC alerte secours,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FR30000271,
True Crime by Pluto TV,03 - CRIME & ENQUETES,OK,https://jmp2.uk/plu-5f914f4b36d67d0007a91a04.m3u8,
Zylo Into Crime (1080p),03 - CRIME & ENQUETES,OK,https://amg00711-zylo-amg00711c10-rakuten-fr-6731.playouts.now.amagi.tv/playlist.m3u8,
Afroculture TV,04 - REPORTAGES & DOCS,OK,https://streamtv.cmediahosthosting.net:3836/live/myafroculturelive.m3u8,[NULL @ 0x564d962f2980] non-existing SPS 0 referenced in buffering period [h264 @ 0x564d95fe1680] non-existing SPS 0 referenced in buffering period
Canal Savoir (360p),04 - REPORTAGES & DOCS,OK,https://hls.savoir.media/live/stream.m3u8,
Culture Pub,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FRBD110000181,
Destination Nature,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FRBC4000001IO,
Documentary+,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-614e286b2bac097ffd6fd6ab/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-614e286b2bac097ffd6fd6ab/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Evasion TV,04 - REPORTAGES & DOCS,FAIL,https://kali.vdopanel.com:3788/hybrid/play.m3u8,[tcp @ 0x55ad301eff40] Connection to tcp://kali.vdopanel.com:3788 failed: Connection refused https://kali.vdopanel.com:3788/hybrid/play.m3u8: Connection refused
Invitation au voyage,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FR3700004HZ,
J'irai dormir chez vous,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FRBD4800001P4,
Les secrets de nos régions,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FRBD410000436,
Nature Time,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6827c34ca5c6e573c6904444/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6827c34ca5c6e573c6904444/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Nature Time,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/plu-61fc0df14159c40007250432.m3u8,
Nature Time France (1080p),04 - REPORTAGES & DOCS,OK,https://bamusa-naturetime-emea-fra-rakuten.amagi.tv/playlist.m3u8,
NatureTime,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FRBB4900002D4,
Pluto TV Animaux,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/plu-60925a44f0350600075a1fdc.m3u8,
Pluto TV Histoire (720p),04 - REPORTAGES & DOCS,OK,https://jmp2.uk/plu-611e771e2f5f180007002224.m3u8,
Popular Science,04 - REPORTAGES & DOCS,OK,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-656fb850cb7e8e6a9bc3f36e/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,
RMC Découverte,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FRBD4100008QS,
Stingray Naturescape,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62fbf36c1567211fdb82e920/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-62fbf36c1567211fdb82e920/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
True History,04 - REPORTAGES & DOCS,OK,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-614398a08f30fa61e0da7c97/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,
TV5 Monde Voyage,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FR1800004EP,
TV5MONDE Voyage,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74a235dc5413c905efd62/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74a235dc5413c905efd62/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Voyages & Saveurs,04 - REPORTAGES & DOCS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-671ff50c922f0674c9398afb/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-671ff50c922f0674c9398afb/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Voyages & Saveurs,04 - REPORTAGES & DOCS,OK,https://jmp2.uk/stvp-FR3600005C7,
Voyages & Saveurs (720p),04 - REPORTAGES & DOCS,OK,https://jmp2.uk/plu-680291e38e1ff89c2427aefd.m3u8,
WildEarth,04 - REPORTAGES & DOCS,OK,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-60d4edddb2fdec002c141135/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,
Cap Terre,05 - ANIMAUX & NATURE,OK,https://jmp2.uk/stvp-FRBC3900004DS,
Cap Terre (1080p),05 - ANIMAUX & NATURE,403,http://145.239.5.177/359a/index.m3u8,http://145.239.5.177/359a/index.m3u8: Server returned 403 Forbidden (access denied)
Ici Radio-Canada Télé Terre-Neuve-et-Labrador (CBAFT-DT) [Geo-blocked],05 - ANIMAUX & NATURE,403,https://rcavlive.akamaized.net/hls/live/704014/cancbaft/master.m3u8,https://rcavlive.akamaized.net/hls/live/704014/cancbaft/master.m3u8: Server returned 403 Forbidden (access denied)
Radio TV Basse-Terre (720p),05 - ANIMAUX & NATURE,OK,https://vdo.ssl-stream.com:3412/stream/play.m3u8,
Trace Urban Caribbean and Indian Ocean (1080p),05 - ANIMAUX & NATURE,OK,https://channels.trace.plus/Traceprod/URBAN_DOM_hd/index.m3u8,
2M Monde +1 (1080p),06 - VOYAGE & DECOUVERTE,OK,https://d2qh3gh0k5vp3v.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-n6pess5lwbghr/2M_ES.m3u8,
Le Monde en 24h,06 - VOYAGE & DECOUVERTE,404,https://stream.berosat.live/hls/monde24h-tv-index/monde24h-tv-index.m3u8,https://stream.berosat.live/hls/monde24h-tv-index/monde24h-tv-index.m3u8: Server returned 404 Not Found
MDL (720p),06 - VOYAGE & DECOUVERTE,OK,http://tv.mondeduloisir.fr:1935/tixtv/smil:web.smil/playlist.m3u8,
TiVi5 Monde [Geo-blocked],06 - VOYAGE & DECOUVERTE,403,https://ott.tv5monde.com/Content/HLS/Live/channel(tivi5)/variant.m3u8,https://ott.tv5monde.com/Content/HLS/Live/channel(tivi5)/variant.m3u8: Server returned 403 Forbidden (access denied)
TV5Monde Africa (720p),06 - VOYAGE & DECOUVERTE,OK,http://5.9.121.178/tv5monde/index.m3u8,
TV5Monde Asia (1080p),06 - VOYAGE & DECOUVERTE,TIMEOUT,http://54.37.19.157/TV5MONDE/index.m3u8,[tcp @ 0x563136b99840] Connection to tcp://54.37.19.157:80 failed: Connection timed out http://54.37.19.157/TV5MONDE/index.m3u8: Connection timed out
TV5Monde Europe (1080p),06 - VOYAGE & DECOUVERTE,OK,http://5.180.164.197:8080/TV5MONDE/index.m3u8,
TV5Monde Info (1080p) [Geo-blocked],06 - VOYAGE & DECOUVERTE,403,https://ott.tv5monde.com/Content/HLS/Live/channel(info)/variant.m3u8,https://ott.tv5monde.com/Content/HLS/Live/channel(info)/variant.m3u8: Server returned 403 Forbidden (access denied)
TV5Monde Latin America (720p),06 - VOYAGE & DECOUVERTE,404,http://45.162.231.38:7779/TV5_Monde/index.m3u8,http://45.162.231.38:7779/TV5_Monde/index.m3u8: Server returned 404 Not Found
TV5Monde Pacifique (1080p) [Geo-blocked],06 - VOYAGE & DECOUVERTE,403,https://ott.tv5monde.com/Content/HLS/Live/channel(pacifique)/variant.m3u8,https://ott.tv5monde.com/Content/HLS/Live/channel(pacifique)/variant.m3u8: Server returned 403 Forbidden (access denied)
TV5Monde Style (1080p) [Geo-blocked],06 - VOYAGE & DECOUVERTE,TIMEOUT,https://ott.tv5monde.com/Content/HLS/Live/channel(style1)/variant.m3u8,ffprobe timeout 10s
Ça Chauffe en Cuisine,07 - CUISINE,OK,https://jmp2.uk/stvp-FR34000032F,
Cooking Panda,07 - CUISINE,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5f07e9fdf313eb0041bbecda/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-5f07e9fdf313eb0041bbecda/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
NEW KFOOD,07 - CUISINE,OK,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b9f5a3d60e5dd29263c7ac/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,
Pluto TV Cuisine,07 - CUISINE,OK,https://jmp2.uk/stvp-FRBA3300044VR,
Pluto TV Cuisine,07 - CUISINE,OK,https://jmp2.uk/stvp-FRBA3300044VR,
TV5 MONDE+ Chefs,07 - CUISINE,OK,https://jmp2.uk/stvp-FR1300003HM,
TV5MONDE Chefs,07 - CUISINE,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74890b5b437bf872b6b72/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68b74890b5b437bf872b6b72/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
TV5MONDE Chefs (1080p),07 - CUISINE,OK,https://tvf-tv5ch.otteravision.com/tvf/tv5ch/tv5ch.m3u8,
